"LOCATION"	"Country"	"VARIABLE"	"Variable"	"FREQUENCY"	"Frequency"	"TIME"	"Time"	"Unit Code"	"Unit"	"PowerCode Code"	"PowerCode"	"Reference Period Code"	"Reference Period"	"Value"	"Flag Codes"	"Flags"
"AUS"	"Australia"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2016_17"	"2016-17"	-5.29278987566846		
"AUT"	"Austria"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2010"	"2010"	-5.84068775350877		
"BEL"	"Belgium"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2015"	"2015"	-8.83155076676988		
"CAN"	"Canada"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2012"	"2012"	-8.42649817461346		
"CZE"	"Czech Republic"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2010"	"2010"	-9.76510637367713		
"DNK"	"Denmark"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2010"	"2010"	-5.91139686646388		
"FIN"	"Finland"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2010"	"2010"	-8.55128112812105		
"FRA"	"France"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2014"	"2014"	-11.3622340183352		
"DEU"	"Germany"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2015"	"2015"	-7.53327134523896		
"GRC"	"Greece"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2010"	"2010"	-9.17138351914991		
"HUN"	"Hungary"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2005"	"2005"	-7.96630056042722		
"ISL"	"Iceland"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2005"	"2005"	-10.4914514114345		
"IRL"	"Ireland"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2017"	"2017"	-6.68973972276247		
"ITA"	"Italy"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2010"	"2010"	-11.1620512145309		
"JPN"	"Japan"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2011"	"2011"	-6.96622089080772		
"KOR"	"Korea"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2015"	"2015"	-1.2384589364086		
"LUX"	"Luxembourg"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2010"	"2010"	-6.49753172597918		
"MEX"	"Mexico"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2013"	"2013"	-7.5436040911925		
"NLD"	"Netherlands"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2015"	"2015"	-7.83877158965433		
"NZL"	"New Zealand"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2009_10"	"2009-10"	-8.86983932113215		
"POL"	"Poland"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2010"	"2010"	-7.57413418165653		
"PRT"	"Portugal"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2016"	"2016"	-9.43437852751857		
"SVK"	"Slovak Republic"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2010"	"2010"	-9.2849476724907		
"ESP"	"Spain"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2015"	"2015"	-11.1371714640141		
"SWE"	"Sweden"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2017"	"2017"	-6.68513721512267		
"CHE"	"Switzerland"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2010"	"2010"	-8.09992131045322		
"TUR"	"Turkey"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2009"	"2009"	-5.42331106043064		
"GBR"	"United Kingdom"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2016"	"2016"	-11.4976658356624		
"USA"	"United States"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2012"	"2012"	-7.30457519999432		
"OTO"	"OECD - Total"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2015"	"2015"	-7.74223479168258		
"BRA"	"Brazil"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2000"	"2000"	-6.87764908551665		
"CHL"	"Chile"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2013"	"2013"	-5.56335768336633		
"CHN"	"China (People's Republic of)"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2015"	"2015"	-2.63222181257736		
"COL"	"Colombia"	"GDPV_ANNPCT"	"Gross domestic product, volume, growth"	"A"	"Annual"	"2020"	"2020"	"PC"	"Percentage"	"0"	"Units"	"2015"	"2015"	-6.12844991469798		
